"location_name","location_type","location_fips_code","population","state","county","metro","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06","2023_07","2023_08","2023_09","2023_10","2023_11"
"United States","National",0,326569308,,,,0.0647781169653891,0.0653786028495843,0.0656755886702489,0.0657652850105759,0.0661368801799275,0.0663408232858748,0.0663278433785695,0.0670932725427409,0.0671076441451647,0.0661482769757172,0.0653273126960477,0.0641805603539178,0.0639525343601443,0.0646734502911136,0.0652782663962284,0.0653941744180048,0.0651208156196128,0.0646755022327861,0.0639736683221549,0.0628366677377856,0.0619444835130282,0.061224372332923,0.060823411640088,0.0612566858142627,0.0617789147037033,0.0624311171031453,0.0630556160750535,0.0632309990225645,0.0631432161700426,0.0627299450471864,0.0622594088080759,0.0616879429287216,0.0613222600406802,0.0611456276503264,0.0611784923445494,0.0615955856672921,0.0620433318227193,0.0626289990833198,0.0633708815738709,0.0650807749849624,0.0669815831653605,0.0681077034185052,0.0683768554367843,0.0673509864487749,0.0658013181254984,0.0645718602607959,0.0638890876432148,0.0635010850827145,0.0626401818240623,0.0614629481735098,0.059637381464602,0.0563318704592243,0.0525715798091857,0.0483021625405684,0.044116081019032,0.0410346591842904,0.0393738518515149,0.0391059880643998,0.0398270225314278,0.0411903842544195,0.0425913712946949,0.0441724743423607,0.0456020527043228,0.0466930192386448,0.0474541713869626,0.0479131969257038,0.0486367721200045,0.0498786037717339,0.0517044423678897,0.0536497751850655,0.055399630569471,0.056930889754574,0.0580465447965237,0.0591671793956259,0.060372802914553,0.0614104882773913,0.0624826877493085,0.0632727153531069,0.0637302466334921,0.0639781425995885,0.0641228702394604,0.0642850902252102,0.0644991887976486
"California","State",6,39346023,"California",,,0.0473234742675373,0.0496447438601049,0.049605349579819,0.049237959384898,0.0499702640745041,0.0504603864877372,0.0511957721604996,0.0527503313772079,0.0538070079314246,0.053615553282072,0.0537818612725044,0.0536208520976292,0.0533309591916846,0.0531210652934632,0.0530318539598931,0.0528343135397095,0.0527910798262237,0.0532699323439342,0.0538245855094502,0.0539010308008468,0.0538049841615389,0.0535495083210207,0.0531074665080715,0.0532892590507704,0.0534886975099939,0.0534683227966978,0.0539963472371084,0.0541306986032054,0.0544321019786193,0.0548848279801821,0.0548261948045393,0.0545686198365353,0.0544024535485457,0.0543041533279143,0.0539328019383286,0.0537119918482191,0.0531976732992804,0.0525624926681815,0.0526866808449441,0.0547040968113441,0.0573369196047506,0.0602653683230607,0.0627667242636814,0.063776045708023,0.0636464186486562,0.062394654992991,0.0607317482073635,0.0587324228221498,0.0567780732375015,0.0551298934983128,0.0532490804987407,0.0505589648204894,0.0473691485036549,0.0437016254938897,0.0397135427067596,0.0362243329287049,0.034135946113015,0.0335479369778905,0.0340646061317649,0.0352362422147721,0.0359789988234953,0.0363766306400739,0.0367497251581264,0.0368801511925617,0.0373248006250479,0.0378603586689155,0.0385008017252227,0.0398499739723327,0.0416123666905553,0.0434246228939934,0.0453766983817007,0.0470741083773628,0.0480183036885753,0.0488233724308925,0.0493670310925331,0.0496697811991139,0.0504419224550868,0.0509934679288557,0.0509689516541652,0.0507806845876168,0.0506941921971403,0.0509489475670557,0.0517181420364818
"Texas","State",48,28635442,"Texas",,,0.0817074629672049,0.0821814934036872,0.0828041553613315,0.083098676000605,0.0834314286984791,0.0835417463073957,0.0832954552782565,0.0839196016246486,0.08226318525948,0.0795394654844266,0.0771576310067892,0.0744594888203172,0.0747091409216871,0.0759658987669111,0.0767878472979068,0.0772101213730176,0.0772809989161008,0.0774957353993893,0.0776463962483411,0.0773558672474089,0.0773646836679259,0.0776937622318582,0.0781424255867638,0.0793355901525932,0.0804019428561269,0.0812570321616764,0.0819331865506468,0.0819315506935495,0.0814874225462943,0.0804558006515165,0.0793502749702855,0.0782638562403467,0.0775015108312065,0.0772375498539087,0.0774695857829838,0.0780710715961749,0.0788515649411606,0.0798784250376163,0.0806596496232868,0.0821815078341424,0.0835672122649321,0.0839757518041899,0.0838594089021904,0.0829567763094549,0.0817210191152361,0.0810551232940253,0.080961599169253,0.0810614820736627,0.0801899582720103,0.0784724476807712,0.0754976716727175,0.0704924145373024,0.065335905693922,0.0597551632656387,0.0547177852116853,0.0510749006190095,0.0489336610801362,0.0483304397427683,0.0487921816309112,0.0499168620455169,0.0512588834745528,0.0530663479865516,0.0549054469657663,0.0566555159004552,0.0579542896679022,0.058738708531726,0.0596633474703647,0.0609929319388693,0.0631483265450162,0.0654329782722769,0.0674925657753667,0.0694549650655202,0.0707035793070251,0.072060217723902,0.0738079704040907,0.0747436755979523,0.0759197404542675,0.0768935854742062,0.07731100679217,0.0779859157609427,0.0783634118051856,0.0787348183986379,0.0791946688246163
"Florida","State",12,21216924,"Florida",,,0.0695176653976532,0.0690776941506078,0.0699308397028811,0.0705673394285283,0.0721557745553699,0.0733980628786246,0.073093716313476,0.0723157043669644,0.0700930442400602,0.0672160429988131,0.0644237722418125,0.061970589864832,0.0605772627444922,0.0610264481087224,0.0622776210099098,0.0634478601855996,0.0640312782384713,0.0639771642518759,0.0633717531364006,0.0618631640041057,0.0608121636357606,0.0600074622197047,0.0591626052460018,0.0595073093272835,0.0598242734370959,0.0604633265784595,0.0614115652414857,0.0622925795382979,0.0632099365578591,0.0633722149860022,0.0634895141718951,0.0631926968104429,0.063141760047343,0.0633054634291722,0.0635950019313659,0.0645071175686932,0.0646912338005567,0.0652324215029158,0.0663702156353791,0.0685694307527664,0.0709202290309167,0.0723290416320588,0.0721570633994762,0.0706825318992631,0.068682828627473,0.0666319167952266,0.0652338254449318,0.0637037458650809,0.0616268545682396,0.059042831193787,0.0557456652978749,0.0508029766102923,0.0453375325474179,0.0396320525595373,0.0345064256229322,0.0308821676690256,0.0293824433387936,0.0297295985904761,0.0311244119738563,0.0335153663650212,0.0360031601699569,0.0386235801803467,0.0412117899707668,0.0433378010380295,0.0452970794844703,0.0468634261491638,0.0483745601075951,0.0498787096997968,0.0512597565665972,0.0523348514873185,0.05286180493637,0.0533228805318717,0.0538925893810132,0.0550434415469866,0.0568783064063076,0.0589032351452795,0.0610976141466875,0.0630145628537754,0.0642712773853432,0.0652754682265363,0.0655951004895689,0.0656659807209524,0.0659969861916595
"New York","State",36,19514849,"New York",,,0.0425620677116119,0.0511170391945552,0.0528139419091822,0.0531954659571099,0.0563788340077757,0.0563650414592432,0.0544824642500336,0.0531984195513227,0.0526837671135981,0.0490216892317454,0.0489109677226921,0.0493995108683397,0.0490843602976113,0.0507819359445047,0.0512376861745903,0.0510706653913161,0.0507576083005171,0.050236512536327,0.0497106842789477,0.0483691494109506,0.0465619832357315,0.0448792907616126,0.044120549713435,0.0440803935152589,0.0446270676500562,0.0451665776054814,0.0448887529364057,0.0439389469392196,0.0429702139372683,0.0425670524322139,0.0420475615960461,0.0415050255620135,0.0405985227926416,0.0387384206798746,0.0375512848192103,0.0374795341497221,0.0375228255611683,0.0378128946111468,0.0375025808013383,0.0376718880219847,0.0411941313476099,0.0461757078436704,0.0511557510100341,0.0549321210899391,0.0550884859962186,0.0549957132669009,0.0548655052197663,0.0549735066602678,0.0552893487241741,0.0546651464574521,0.0536424186708098,0.0514805506589803,0.0487698735144411,0.044631355041288,0.040902753567368,0.0379608216644397,0.0351505900525045,0.0335570882993482,0.0321995763458145,0.0314214555251037,0.0311725100261351,0.0315283472892409,0.0326007971413936,0.0338223489728321,0.0346121350947211,0.0354049943058486,0.0367161533992494,0.0380632232134825,0.0404529022628675,0.0422869560495674,0.0437611794883759,0.0452418545412572,0.0465378738651091,0.0478935558624004,0.0478830014793271,0.0474454704383909,0.046037315896918,0.0451816302700396,0.0448278511855667,0.0444184235267855,0.0447788964503253,0.0447792355817841,0.0446896997619781
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","Metro",35620,19261570,,,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.0425159133465192,0.0493764257648763,0.0508532654754072,0.0516979605946496,0.0557783897935638,0.0569047375465372,0.0562096803343216,0.0549682310088402,0.0526130760219355,0.0500293133433573,0.0504794832782425,0.0519065564373034,0.0535814799630426,0.0548457327442187,0.0554215404796278,0.0557105958681854,0.0561426014175911,0.0563223416987215,0.0559031149876941,0.0541467857830857,0.051520014751553,0.0490552501191429,0.0470294725108526,0.0460562091781366,0.0456864167582097,0.045952810699986,0.0464373977250331,0.0463364167934457,0.0469326370333228,0.0469147881587464,0.0462812960508239,0.0453596768530664,0.0434381464109597,0.0412125830850558,0.0393005178676985,0.0385778999064077,0.0381090877123691,0.0378784360853055,0.0378357878359129,0.0387822209430073,0.0415474500582178,0.0462709645032738,0.051074143993573,0.0546205607216654,0.0558465777378483,0.0555903281221051,0.0548781249848562,0.0539530252573313,0.0527960481683451,0.0514683219175312,0.0499874166574718,0.0477006811303991,0.0453655999045779,0.0420472216077726,0.0387423122272433,0.0360927870385078,0.0335748125060194,0.0318419715740341,0.0307666676233909,0.0296620692122604,0.029190938177724,0.0290738317586576,0.0291119047777714,0.0296248237039974,0.0301089091287879,0.0305511607992555,0.0316203489363055,0.0328916434341889,0.0346661233782697,0.0362792917469795,0.0373703615959107,0.0382553343246407,0.0389774255845128,0.0394397451298031,0.0397416898457539,0.0403255594233074,0.0409220106518065,0.0421013276171906,0.0436815175590134,0.0441468041657101,0.0442975090520728,0.0439655386323242,0.0429832337632932
"Los Angeles-Long Beach-Anaheim, CA Metro Area","Metro",31080,13211027,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.0502350174250058,0.0539448890628767,0.0546188393847381,0.0549427057017999,0.0571930862043744,0.0588844328622988,0.0597647458219798,0.0607330770719198,0.0607750284259984,0.0593130949904156,0.0592147164764126,0.0591192379534508,0.0587257383795585,0.0582630117084615,0.0581477355715375,0.0583423223384037,0.0594398722081172,0.0612229440317076,0.0622001465752334,0.0619176524260915,0.0608356352566257,0.0594004796297218,0.0578879278687941,0.0575209338081699,0.05744860949526,0.0575756050127384,0.0591812595651083,0.0601551343959858,0.0617095466728833,0.0629348775232448,0.0626936539569924,0.0617128086508841,0.0599905380739687,0.0579875035696984,0.0560635641583815,0.0551902590882405,0.0547069617137175,0.0548998974928641,0.0564012837313897,0.0602484990399408,0.0644457908077318,0.0684123202848211,0.0713317149028023,0.0716227314706617,0.0702652707852496,0.0680185807072889,0.0652818358766841,0.0629713854086945,0.061248853089473,0.0599788067014414,0.0589009437679202,0.0564597749710021,0.0531695438844136,0.0487244818212608,0.0431547645757064,0.0377498931299214,0.0340296915180162,0.0322912698216376,0.0320918331481268,0.0331818987251317,0.0339966237015203,0.0346684332451658,0.0357933006127292,0.03685054313246,0.0381964806752137,0.0394227928155994,0.0401515463298262,0.040890056199054,0.0418250654075673,0.0429181849232329,0.0445680629769093,0.0465415387504766,0.0479904969861606,0.049212621645741,0.0500991749516939,0.0508010981423075,0.0519286028089802,0.0527635517858518,0.0527861089721529,0.0520034374405386,0.05100152312047,0.0502164741514812,0.0502363255148784
"Pennsylvania","State",42,12794885,"Pennsylvania",,,0.0554103338927833,0.0538228960754131,0.0543547013195583,0.0557560361917557,0.0577659529385149,0.0613377927072629,0.064111172317486,0.0667047687631119,0.0683070326005105,0.0678438165068015,0.0670835084778358,0.065530501033561,0.0637869994255249,0.0635459795797012,0.0637705616672984,0.0643524360768811,0.0633569059467472,0.0616480302568637,0.0587217868211501,0.0546725019947925,0.0517958551270355,0.0501577623293733,0.0490033657112943,0.0486664251584786,0.0491913004198134,0.0490240163290678,0.0496991723130156,0.0503443267674455,0.0506669239001132,0.0505857232987817,0.0502539010098011,0.0493925201894693,0.0494065091580683,0.0498599321178796,0.0513659130045389,0.0520187957839497,0.0521437956143251,0.0522726562989636,0.0528129944070553,0.0559254271927394,0.0603785090188816,0.0648473353400063,0.0675755264020962,0.0680626270632955,0.0665988865239815,0.0641976681177114,0.0617030392415575,0.0606329730420213,0.0604295288909963,0.0605966812193074,0.0607339531415379,0.0591544125034149,0.055413844379816,0.0507306758722845,0.0452695155198613,0.0402889700426544,0.0366073848698366,0.0346053051962134,0.0343858137463763,0.0354144698619925,0.0378039468103805,0.0408570223810378,0.0435478909604466,0.04551539981267,0.0461242692057891,0.0454893970248679,0.0450448039770406,0.0452410811229374,0.0461719252168976,0.0478206023751991,0.0494650558976057,0.0508462212437072,0.0524206949493576,0.053981197431223,0.0557307115504719,0.0577115042307613,0.0589148168424949,0.0597112837292202,0.0593576435477899,0.0576259023794204,0.0558586143877125,0.0544709227273613,0.0538251853659085
"Illinois","State",17,12716164,"Illinois",,,0.0524236179831722,0.0521402181962517,0.0518745704700868,0.0525862996147502,0.053691927915764,0.0556399593077237,0.0589701793876259,0.0634250388006589,0.0676244713233779,0.069714596195432,0.0708910019994801,0.069858087173657,0.0686598540859384,0.0690077666088576,0.0688502949341536,0.0674384998619783,0.0654604299358934,0.0637040017937862,0.0620011092433282,0.0613451951051165,0.0612659362124514,0.0607157303430294,0.0599106644302745,0.0597447259682766,0.0593961685807422,0.0589588982992969,0.058717792776614,0.0578364129925837,0.05745276204907,0.0579620824378322,0.0588870402325222,0.0596052229088911,0.0595624512190933,0.0585099734805409,0.0570826016093379,0.0566362407260607,0.0564102318016437,0.0565337239346405,0.0575340370966808,0.0593493195249723,0.0632937490053543,0.0681108712512999,0.0724001035472203,0.0753598084956438,0.0756244683546601,0.0748516008950167,0.0729709495593114,0.0712224906934611,0.0696017800581397,0.0675300680271262,0.0656769978241042,0.0623744940998724,0.0591689734882997,0.0560472029165056,0.0527706027845543,0.0499229302832856,0.0472342105353108,0.0451339120423011,0.0438381189002931,0.0437178172801599,0.0442377771659786,0.0451378424069184,0.0463305860842562,0.0471631037718416,0.0473438527382443,0.0473923321277797,0.0475607188447328,0.0478583908893756,0.0485367446353592,0.0489941078778306,0.0489822616639449,0.04929572596525,0.0492237188654729,0.0492202128822308,0.0496352417390175,0.0502823752344812,0.0516809122178982,0.0532156630621324,0.0543023530761486,0.0545698544847354,0.054414799979102,0.0536684884215367,0.0525302465195496
"Ohio","State",39,11675275,"Ohio",,,0.092311947754505,0.0810547869201376,0.0768214845829973,0.0736350404360614,0.0644298252733501,0.0598110706283979,0.0561840313650096,0.0570112058227614,0.0601729341041172,0.0612268901663687,0.0615915839581606,0.0586719424965997,0.0557451484710257,0.0563077735721571,0.0557467475813691,0.0546760149257809,0.0525790678204323,0.0494743512624975,0.0472375432934825,0.0453714984856591,0.0444785946171729,0.0446951857913761,0.0450024723941487,0.0461999631402628,0.0473526890988741,0.0483938563898339,0.0497807043141823,0.0498530019049797,0.0491988740556312,0.0479366911493366,0.0464031743605729,0.0450624638566422,0.0446410205207791,0.0449504700018713,0.0456361790787961,0.0470427710664888,0.0483655955892426,0.0492668462932191,0.0500055798058881,0.0505005857837306,0.0506989896320941,0.0503392402023021,0.0494371557060195,0.0484257687025145,0.0472799308812593,0.0466091390370142,0.0465993381957026,0.046799535062808,0.0467043410385991,0.0461432378310606,0.0448961734627774,0.0422391928771161,0.0393718023231499,0.0362939047107004,0.0336436965246289,0.0321050863309361,0.0315666266486776,0.0317729350942749,0.0320163708653787,0.0325433245175819,0.0327452556628436,0.0335196080512393,0.0348482812121022,0.0358689026306651,0.0366449230780013,0.0366312924356481,0.0364672546795486,0.0373599450092299,0.0392483579392251,0.0415887000145726,0.0439050234936321,0.0454663849790714,0.0467266961579832,0.0478641474631187,0.0485267397150172,0.0490685157729374,0.049216427251535,0.0499115695327175,0.0512711928785651,0.0524120813602551,0.0542505540602663,0.0559482967436822,0.0565781462851559
